date,pm25,pm10,o3,no2,so2
7/9/2015,53,35,55,43,5
7/10/2015,65,29,81,24,3
7/11/2015,57,30,68,19,4
7/12/2015,58,33,92,28,5
7/13/2015,59,42,83,28,3
7/14/2015,63,41,93,34,5
7/15/2015,67,51,63,39,3
7/16/2015,76,43,66,29,5
7/17/2015,68,28,53,18,4
7/18/2015,50,21,37,19,5
7/19/2015,53,21,50,24,3
7/20/2015,44,25,39,28,3
7/21/2015,54,23,38,21,3
7/22/2015,51,23,43,23,4
7/23/2015,51,26,39,33,5
7/24/2015,59,19,57,15,4
7/25/2015,46,27,51,15,4
7/26/2015,56,20,40,21,4
7/27/2015,47,26,44,27,4
7/28/2015,51,23,40,27,5
7/29/2015,47,21,34,21,5
7/30/2015,46,19,28,21,5
7/31/2015,42,13,64,10,5
8/1/2015,34,27,55,15,5
8/2/2015,53,41,45,31,5
8/3/2015,64,33,51,22,5
8/4/2015,58,32,48,32,5
8/5/2015,62,35,47,34,5
8/6/2015,56,51,41,33,5
8/7/2015,76,63,52,16,4
8/8/2015,108,21,57,10,3
8/9/2015,45,31,49,19,5
8/10/2015,51,48,20,34,5
8/11/2015,71,,,,
8/24/2015,,19,44,20,6
8/25/2015,38,33,45,32,5
8/26/2015,55,25,38,27,5
8/27/2015,48,25,49,28,6
8/28/2015,52,34,44,21,6
8/29/2015,55,39,38,11,6
8/30/2015,56,34,34,21,6
8/31/2015,62,22,30,24,5
9/1/2015,51,26,46,22,5
9/2/2015,54,26,49,23,5
9/3/2015,53,18,42,18,4
9/4/2015,41,17,42,12,3
9/5/2015,41,19,47,16,4
9/6/2015,43,20,37,21,4
9/7/2015,46,21,42,26,4
9/8/2015,49,27,46,35,6
9/9/2015,56,26,33,31,5
9/10/2015,52,28,22,37,6
9/11/2015,52,,,,
9/13/2015,,15,35,17,5
9/14/2015,34,22,34,22,5
9/15/2015,42,17,24,18,4
9/16/2015,39,12,32,21,5
9/17/2015,33,14,32,26,4
9/18/2015,37,21,39,29,5
9/19/2015,49,26,45,33,6
9/20/2015,58,30,51,42,6
9/21/2015,62,26,46,41,5
9/22/2015,54,20,33,23,4
9/23/2015,51,19,29,25,5
9/24/2015,42,23,35,31,5
9/25/2015,50,27,38,36,5
9/26/2015,58,24,40,28,5
9/27/2015,51,23,36,22,5
9/28/2015,48,23,36,25,4
9/29/2015,47,20,37,26,3
9/30/2015,45,29,42,38,5
10/1/2015,60,25,39,32,5
10/2/2015,52,29,35,33,5
10/3/2015,60,28,25,22,2
10/4/2015,60,27,27,23,4
10/5/2015,57,15,27,20,3
10/6/2015,36,16,28,26,4
10/7/2015,42,19,32,30,4
10/8/2015,47,26,30,38,5
10/9/2015,62,30,35,37,5
10/10/2015,70,18,23,21,3
10/11/2015,51,14,25,15,3
10/12/2015,39,19,15,26,5
10/13/2015,54,21,18,27,5
10/14/2015,59,23,26,36,5
10/15/2015,57,30,28,45,7
10/16/2015,66,27,29,34,5
10/17/2015,68,19,19,21,3
10/18/2015,55,18,26,26,4
10/19/2015,51,14,35,25,5
10/20/2015,38,17,28,28,6
10/21/2015,46,27,25,37,7
10/22/2015,60,31,14,37,7
10/23/2015,65,30,24,34,7
10/24/2015,70,21,36,23,5
10/25/2015,56,17,28,20,6
10/26/2015,51,14,38,21,5
10/27/2015,43,13,39,22,5
10/28/2015,35,40,32,28,4
10/29/2015,65,29,23,34,7
10/30/2015,78,23,34,23,5
10/31/2015,59,16,43,19,5
11/1/2015,46,12,36,23,5
11/2/2015,38,13,31,25,5
11/3/2015,35,25,16,32,4
11/4/2015,61,23,31,33,4
11/5/2015,57,39,14,44,8
11/6/2015,87,32,20,32,7
11/7/2015,80,21,32,28,8
11/8/2015,58,23,25,36,8
11/9/2015,59,40,11,54,10
11/10/2015,87,44,9,56,10
11/11/2015,91,39,17,53,9
11/12/2015,84,36,14,46,9
11/13/2015,78,25,23,26,6
11/14/2015,60,30,17,30,7
11/15/2015,78,41,16,39,8
11/16/2015,98,51,7,44,8
11/17/2015,115,46,7,48,9
11/18/2015,100,44,8,48,8
11/19/2015,90,40,20,46,9
11/20/2015,89,18,37,19,7
11/21/2015,40,9,35,21,6
11/22/2015,26,10,33,25,8
11/23/2015,25,29,18,47,8
11/24/2015,68,17,37,32,7
11/25/2015,42,23,38,40,9
11/26/2015,49,20,32,40,9
11/27/2015,47,23,28,37,9
11/28/2015,58,25,16,37,9
11/29/2015,65,43,14,55,13
11/30/2015,91,48,8,52,10
12/1/2015,86,57,5,58,12
12/2/2015,115,53,11,53,10
12/3/2015,107,53,5,57,11
12/4/2015,115,49,11,51,11
12/5/2015,101,34,14,33,9
12/6/2015,79,31,8,31,9
12/7/2015,77,41,9,30,9
12/8/2015,98,31,14,33,9
12/9/2015,73,30,14,34,9
12/10/2015,74,23,19,31,8
12/11/2015,59,21,22,26,6
12/12/2015,54,34,14,34,8
12/13/2015,79,39,18,33,7
12/14/2015,77,53,15,42,8
12/15/2015,96,53,5,42,10
12/16/2015,101,59,5,47,11
12/17/2015,107,57,5,47,11
12/18/2015,109,55,8,47,10
12/19/2015,112,46,12,32,8
12/20/2015,86,53,7,41,9
12/21/2015,102,43,8,45,9
12/22/2015,91,45,7,48,10
12/23/2015,96,47,5,40,9
12/24/2015,110,49,12,38,10
12/25/2015,118,39,13,32,9
12/26/2015,97,25,21,25,8
12/27/2015,66,30,20,29,7
12/28/2015,61,26,25,26,6
12/29/2015,59,22,26,27,6
12/30/2015,49,,,,
1/2/2016,,12,20,20,6
1/3/2016,34,7,20,15,5
1/4/2016,22,10,36,24,6
1/5/2016,31,8,32,17,5
1/6/2016,26,9,29,15,5
1/7/2016,24,11,26,20,6
1/8/2016,29,9,30,20,4
1/9/2016,29,8,29,12,5
1/10/2016,25,12,33,21,5
1/11/2016,29,19,31,29,7
1/12/2016,45,29,17,40,9
1/13/2016,66,31,16,38,8
1/14/2016,74,14,34,24,9
1/15/2016,42,10,36,27,10
1/16/2016,30,20,18,31,9
1/17/2016,58,21,33,30,7
1/18/2016,53,26,39,37,8
1/19/2016,54,33,16,38,8
1/20/2016,76,34,15,30,7
1/21/2016,81,41,4,32,9
1/22/2016,99,30,9,36,10
1/23/2016,79,25,15,32,10
1/24/2016,67,33,8,36,10
1/25/2016,82,40,8,31,9
1/26/2016,99,52,5,30,8
1/27/2016,118,33,19,30,7
1/28/2016,85,16,17,30,9
1/29/2016,49,18,24,26,7
1/30/2016,54,20,27,29,7
1/31/2016,56,38,8,40,9
2/1/2016,85,41,6,38,9
2/2/2016,96,19,29,26,8
2/3/2016,51,12,27,28,9
2/4/2016,33,22,16,34,9
2/5/2016,53,36,18,29,8
2/6/2016,81,11,32,18,8
2/7/2016,29,15,23,21,6
2/8/2016,35,10,24,16,5
2/9/2016,26,11,25,18,7
2/10/2016,27,11,29,21,7
2/11/2016,28,10,24,17,7
2/12/2016,31,7,16,12,7
2/13/2016,23,8,34,15,7
2/14/2016,20,8,34,18,8
2/15/2016,20,8,32,21,10
2/16/2016,22,19,28,32,8
2/17/2016,47,13,27,25,8
2/18/2016,39,11,29,25,10
2/19/2016,32,14,30,32,11
2/20/2016,41,50,29,28,10
2/21/2016,84,160,28,36,10
2/22/2016,159,51,30,36,9
2/23/2016,68,38,22,32,7
2/24/2016,68,15,33,26,7
